year_month,cA,cB,cCD,production,cA_per_prod,cB_per_prod,cCD_per_prod
200901,50533,17100,22500,630494,0.080148265,0.02712159,0.035686303
200902,37659,25650,22500,412244,0.091351239,0.062220433,0.054579327
200903,47330,19950,15000,464256,0.101948063,0.042971981,0.03230976
200904,45100,14250,22500,483255,0.09332547,0.029487538,0.04655927
200905,31538,8550,15000,289430,0.108965898,0.029540822,0.051826003
200906,41518,14250,15000,401985,0.103282461,0.035449084,0.037314825
200907,44397,14250,30000,518940,0.085553243,0.027459822,0.057810151
200908,54317,25650,30000,667760,0.081342099,0.038412004,0.044926321
200909,54811,38950,30000,595958,0.091971246,0.065356955,0.050339118
200910,46383,19950,22500,497380,0.093254654,0.040110177,0.045237042
200911,33660,14250,15000,405457,0.083017435,0.035145527,0.036995292
200912,48999,14250,30000,610543,0.08025479,0.023339879,0.049136588
201001,49030,14251,22500,772139,0.06349893,0.018456521,0.029139831
201002,63764,17099,22500,719335,0.088642983,0.023770566,0.03127889
201003,57923,19950,30000,808968,0.071601102,0.02466105,0.037084285
201004,81781,22800,37500,753638,0.108514963,0.030253252,0.049758637
201005,65177,17100,37500,738229,0.088288322,0.023163544,0.050797246
201006,70666,17100,30000,782294,0.090331768,0.02185879,0.038348754
201007,59274,17100,37500,735054,0.080638973,0.023263597,0.05101666
201008,70494,19950,22500,777912,0.090619505,0.025645574,0.02892358
201009,70182,19950,37500,814474,0.086168496,0.024494336,0.046041985
201010,69417,17100,30000,771015,0.090033268,0.022178557,0.038909749
201011,55383,11400,30000,714020,0.077565054,0.015965939,0.04201563
201012,73279,19950,37500,788880,0.09288992,0.025289017,0.047535747
201101,61243,19950,30000,860523,0.07116951,0.023183576,0.03486252
201102,54687,17100,22500,623529,0.087705624,0.027424546,0.036084929
201103,86393,22800,37500,838023,0.103091443,0.027206891,0.044748175
201104,54589,11400,37500,621524,0.08783088,0.018342011,0.060335562
201105,67747,19950,37500,796810,0.085022778,0.025037336,0.047062662
201106,68290,17100,37500,792486,0.086171869,0.021577668,0.047319448
201107,65580,11400,37500,879035,0.074604538,0.012968767,0.042660417
201108,72623,17100,37500,829456,0.087554976,0.020615922,0.045210355
201109,72520,17100,30000,796191,0.091083672,0.021477259,0.037679401
201110,62366,19950,30000,643613,0.096899845,0.030996888,0.046611861
201111,44811,17100,30000,602030,0.074433168,0.0284039,0.049831404
201112,65681,11400,30587.4,707463,0.092840191,0.016113917,0.043235335
201201,62575,14250,39913.2,666308,0.093913025,0.021386506,0.059902027
201202,52896,8550,28085.4,690327,0.076624556,0.012385435,0.040684197
201203,61196,11400,31795.2,640075,0.095607546,0.017810413,0.049674179
201204,53303,14250,31734,693545,0.076855864,0.020546612,0.045756223
201205,63034,19950,40113,795271,0.079261032,0.025085788,0.05043941
201206,50406,14250,32131.62,713256,0.070670278,0.019978801,0.045049211
201207,74531,37050,36250.2,761776,0.097838472,0.048636345,0.04758643
201208,52208,19950,36129.6,673639,0.077501451,0.029615269,0.053633474
201209,59861,14250,32139,731427,0.081841387,0.019482464,0.043940133
201210,61180,22800,40309.2,759219,0.080582809,0.030030861,0.053092981
201211,44304,19950,36244.8,671149,0.066012167,0.029725143,0.054004103
201212,47404,19950,24105.6,591446,0.080149329,0.03373089,0.04075706
201301,64019,17100,36219.6,761237,0.084098645,0.022463438,0.047579926
201302,54718,17100,28099.8,694375,0.0788018,0.024626463,0.040467759
201303,51403,19950,30000,648637,0.079247715,0.030756802,0.046250831
201304,56906,17100,30000,717416,0.079320785,0.023835543,0.041816742
201305,44798,19950,22500,731610,0.061232077,0.027268627,0.03075409
201306,53301,17100,30000,690261,0.077218617,0.024773238,0.043461821
201307,53568,17100,30000,683707,0.078349351,0.025010714,0.043878445
201308,49623,22800,37500,620238,0.080006385,0.036760082,0.060460662
201309,48817,34200,30000,613608,0.079557307,0.05573591,0.048891149
201310,50296,22800,30000,676902,0.074303223,0.033682867,0.044319562
201311,47432,11400,26557.2,621223,0.076352614,0.018350898,0.042749866
201312,56221,25650,28375.2,725754,0.077465643,0.035342554,0.039097545
201401,64220,31350,56493,783546,0.081960727,0.040010414,0.072099149
201402,57017,42750,40393.8,721960,0.078975289,0.059213807,0.055950191
201403,59592,45161,48411,773988,0.076993442,0.05834845,0.062547481
201404,62947,57000,52779.6,863017,0.072938308,0.066047366,0.06115708
201405,60826,31350,52952.4,883785,0.068824431,0.035472428,0.059915477
201406,59415,28500,40629.6,831600,0.071446609,0.034271284,0.048857143
201407,57835,54150,48886.2,803291,0.07199757,0.067410191,0.060857398
201408,53496,31350,44787.6,728364,0.073446793,0.043041666,0.061490683
201409,53013,37050,48911.4,765334,0.069267797,0.048410237,0.063908568
201410,58528,45600,48918.6,803465,0.072844492,0.056754183,0.060884544
201411,47975,25650,24440.4,693754,0.069152754,0.03697276,0.035229202
201412,55594,22800,32576.4,755889,0.073547836,0.030163159,0.043096804
201501,57352,28500,40629.6,768400,0.074638209,0.037090057,0.052875586
201502,55769,39900,36547.2,712588,0.078262615,0.055993084,0.051287981
201503,46790,22800,32495.4,749508,0.062427619,0.030419955,0.043355641
201504,53720,22800,36626.4,776615,0.069171984,0.029358176,0.047161592
201505,58934,14250,36640.8,818857,0.071971052,0.017402306,0.044746274
201506,48433,19950,44773.2,730375,0.066312511,0.027314736,0.06130166
201507,58903,19950,36466.2,734913,0.080149623,0.02714607,0.049619751
201508,51717,31350,20142,758124,0.068217073,0.041352074,0.026568213
201509,74089,39900,49023,759300,0.097575398,0.0525484,0.064563414
201510,20594,19950,16212.6,442348,0.046556105,0.045100238,0.036651234
201511,27110,8550,26506.8,453561,0.059771453,0.018850827,0.058441533
201512,38075.04,0,52500,555628,0.068526136,0,0.094487679
201601,22536,0,11621.4,286757,0.078589189,0,0.040526997
201602,19385.65,0,7633.8,260530,0.074408513,0,0.02930104
201603,14829.69,0,4038,276190,0.053693798,0,0.01462037
201604,12430.76,11400,7500,287849,0.043185003,0.039604098,0.026055328
201605,20789.86,19950,15000,290075,0.071670637,0.068775317,0.051710764
201606,17619.5,2850,7812,284465,0.061939079,0.010018807,0.027462078
201607,11892.54,19950,3883.2,223263,0.053266954,0.089356499,0.01739294
201608,18024.68,14250,11440.8,268201,0.067205864,0.053131793,0.042657559
201609,13971.1,14250,15170.4,246326,0.056717927,0.057850166,0.061586678
201610,9164.64,2850,7638,218471,0.041949,0.01304521,0.034961162
201611,22790,5700,301.2,299164,0.076178952,0.019053095,0.001006806
201612,20283,0,11406,295025,0.068750106,0,0.03866113
201701,22349,0,3982.8,315511,0.070834297,0,0.012623332
201702,20867,0,15138.6,269451,0.077442652,0,0.056183128
201703,22752,0,7369.8,283890,0.080143718,0,0.025960055
201704,20164,0,1749.6,275247,0.073257838,0,0.006356473
201705,20918,17100,14796,295338,0.070827323,0.057899762,0.050098531
201706,21078.9,11400,11318.4,296498,0.071092891,0.038448826,0.038173613
201707,18761,34200,7869,285960,0.065607078,0.119597146,0.027517835
201708,22239,37050,15376.8,264867,0.083962895,0.139881525,0.058054797
201709,24848,37050,15127.2,237866,0.104462176,0.155759966,0.06359547
201710,19357,8550,18906.6,253490,0.076361987,0.033729141,0.074585191
201711,21481,8550,22603.2,276837,0.077594397,0.0308846,0.081648046
201712,22055,0,10996.8,262780,0.083929523,0,0.041847934
201801,24404,0,19831.95,309277,0.078906611,0,0.064123585
201802,18859,0,15181.2,273146,0.069043662,0,0.055579068
201803,24021,0,11318.4,305643,0.07859169,0,0.037031439
201804,24950,0,22540.8,321238,0.077668271,0,0.070168535
201805,25877,8550,26331,358068,0.072268396,0.023878146,0.073536312
201806,24922,8550,144.6,317539,0.078484848,0.026925826,0.000455377
201807,24656,14250,18835.2,346485,0.071160368,0.041127322,0.054360795
201808,27429,59850,22612.2,343582,0.079832471,0.174194224,0.06581311
201809,20950.712,51300,22513.8,316479,0.066199375,0.162096063,0.071138369
201810,27790,14250,18908.4,363587,0.076432876,0.03919282,0.05200516
201811,27763,0,19812.9,379885,0.073082643,0,0.052154994
201812,32336,2850,33793.8,350190,0.092338445,0.008138439,0.096501328
201901,25320,8550,22500,442755,0.057187384,0.019310906,0.050818173
201902,26971,19950,22500,388230,0.069471705,0.051387064,0.057955336
201903,32664,31350,30000,476383,0.068566678,0.065808394,0.062974539
201904,19662,45600,37500,470032,0.041831194,0.097014671,0.079781802
201905,47566,57000,30000,541382,0.087860328,0.105286101,0.055413737
201906,9040,62700,30000,407105,0.022205574,0.154014321,0.073691063
