year_month,cA,cB,cCD,production,cA_per_prod,cB_per_prod,cCD_per_prod
200901,50533,17100,22500,630494,0.080148265,0.02712159,0.035686303
200902,37659,25650,22500,412244,0.084577334,0.040997835,0.043155615
200903,47330,19950,15000,464256,0.089928692,0.041606005,0.039814359
200904,45100,14250,22500,483255,0.095670911,0.044015282,0.044125596
200905,31538,8550,15000,289430,0.100221433,0.034561066,0.042443415
200906,41518,14250,15000,401985,0.100586548,0.031540773,0.044693403
200907,44397,14250,30000,518940,0.097040125,0.030610854,0.049572233
200908,54317,25650,30000,667760,0.088269229,0.034084793,0.047208855
200909,54811,38950,30000,595958,0.086121398,0.044231703,0.050486408
200910,46383,19950,22500,497380,0.088303433,0.048009821,0.046845775
200911,33660,14250,15000,405457,0.089974947,0.048805874,0.045036179
200912,48999,14250,30000,610543,0.085267415,0.032014431,0.044602149
201001,49030,14251,22500,772139,0.073645841,0.023908097,0.037748743
201002,63764,17099,22500,719335,0.076970358,0.02169345,0.035680016
201003,57923,19950,30000,808968,0.074210521,0.022300062,0.03260243
201004,81781,22800,37500,753638,0.089164444,0.026227234,0.039440108
201005,65177,17100,37500,738229,0.089046368,0.026012296,0.045635606
201006,70666,17100,30000,782294,0.095694192,0.025064189,0.046170874
201007,59274,17100,37500,735054,0.086504251,0.022743626,0.046551282
201008,70494,19950,22500,777912,0.087325183,0.023592098,0.039211244
201009,70182,19950,37500,814474,0.085909841,0.024490427,0.04189152
201010,69417,17100,30000,771015,0.088894352,0.024117786,0.038080715
201011,55383,11400,30000,714020,0.084792884,0.021069715,0.042400356
201012,73279,19950,37500,788880,0.087109237,0.021306865,0.042877592
201101,61243,19950,30000,860523,0.080351676,0.021705806,0.041253724
201102,54687,17100,22500,623529,0.083244461,0.025077741,0.039596433
201103,86393,22800,37500,838023,0.087130261,0.025774361,0.038758438
201104,54589,11400,37500,621524,0.093932723,0.024627042,0.046805781
201105,67747,19950,37500,796810,0.092507081,0.023998862,0.049859131
201106,68290,17100,37500,792486,0.086224116,0.021914946,0.050886097
201107,65580,11400,37500,879035,0.081681509,0.019628648,0.045577356
201108,72623,17100,37500,829456,0.082564934,0.018232875,0.044982421
201109,72520,17100,30000,796191,0.084131638,0.018205904,0.041921489
201110,62366,19950,30000,643613,0.091443466,0.023862404,0.042965548
201111,44811,17100,30000,602030,0.088007644,0.026520275,0.04407802
201112,65681,11400,30587.4,707463,0.088504157,0.024806641,0.0463812
201201,62575,14250,39913.2,666308,0.087593336,0.021636794,0.05086575
201202,52896,8550,28085.4,690327,0.087763275,0.016568981,0.047762267
201203,61196,11400,31795.2,640075,0.088479048,0.017128176,0.049979116
201204,53303,14250,31734,693545,0.082707205,0.016897676,0.045265316
201205,63034,19950,40113,795271,0.083392245,0.021419603,0.048683657
201206,50406,14250,32131.62,713256,0.075720957,0.022002005,0.047218538
201207,74531,37050,36250.2,761776,0.082795556,0.031383476,0.047788696
201208,52208,19950,36129.6,673639,0.082443985,0.033160032,0.048640029
201209,59861,14250,32139,731427,0.086116108,0.032881954,0.048235543
201210,61180,22800,40309.2,759219,0.080049069,0.026336642,0.050167977
201211,44304,19950,36244.8,671149,0.076485051,0.026366977,0.050279051
201212,47404,19950,24105.6,591446,0.075619221,0.031011755,0.049786776
201301,64019,17100,36219.6,761237,0.076946604,0.028164393,0.047716411
201302,54718,17100,28099.8,694375,0.081160866,0.026452597,0.043196138
201303,51403,19950,30000,648637,0.08085545,0.025733647,0.044823308
201304,56906,17100,30000,717416,0.079122881,0.026280947,0.04275801
201305,44798,19950,22500,731610,0.072989322,0.027173097,0.039329482
201306,53301,17100,30000,690261,0.072456384,0.025312172,0.038564251
201307,53568,17100,30000,683707,0.072031053,0.025717404,0.03918164
201308,49623,22800,37500,620238,0.078473337,0.028582804,0.048891639
201309,48817,34200,30000,613608,0.079271864,0.038643,0.050846052
201310,50296,22800,30000,676902,0.077841767,0.041763749,0.051027137
201311,47432,11400,26557.2,621223,0.076655579,0.035779055,0.045276825
201312,56221,25650,28375.2,725754,0.076066306,0.029571926,0.041965157
201401,64220,31350,56493,783546,0.078794268,0.032104793,0.052299553
201402,57017,42750,40393.8,721960,0.079532641,0.044705682,0.05613958
201403,59592,45161,48411,773988,0.07932857,0.052319067,0.063741251
201404,62947,57000,52779.6,863017,0.076116432,0.061429907,0.060019712
201405,60826,31350,52952.4,883785,0.072741085,0.052963952,0.061148688
201406,59415,28500,40629.6,831600,0.071047106,0.045318767,0.056764461
201407,57835,54150,48886.2,803291,0.070702226,0.045261876,0.056564719
201408,53496,31350,44787.6,728364,0.07225035,0.048238552,0.056829839
201409,53013,37050,48911.4,765334,0.071547578,0.053352454,0.062074829
201410,58528,45600,48918.6,803465,0.071843835,0.049626431,0.062084232
201411,47975,25650,24440.4,693754,0.070502658,0.047866282,0.0540409
201412,55594,22800,32576.4,755889,0.071943733,0.04174234,0.047017453
201501,57352,28500,40629.6,768400,0.072550893,0.034692745,0.044023673
201502,55769,39900,36547.2,712588,0.075424353,0.040771129,0.049065371
201503,46790,22800,32495.4,749508,0.071693023,0.040887767,0.049169422
201504,53720,22800,36626.4,776615,0.069807581,0.03819162,0.047200822
201505,58934,14250,36640.8,818857,0.067993757,0.025522606,0.045101707
201506,48433,19950,44773.2,730375,0.0692595,0.024507201,0.050751576
201507,58903,19950,36466.2,734913,0.072793102,0.023706901,0.05160802
201508,51717,31350,20142,758124,0.07153555,0.032045343,0.045597217
201509,74089,39900,49023,759300,0.08200771,0.040491276,0.046898488
201510,20594,19950,16212.6,442348,0.074702567,0.046536026,0.043565068
201511,27110,8550,26506.8,453561,0.073581644,0.041324087,0.055426475
201512,38075.04,0,52500,555628,0.059095318,0.01963436,0.065599017
201601,22536,0,11621.4,286757,0.067688808,0.006597497,0.069932081
201602,19385.65,0,7633.8,260530,0.072532054,0,0.065059592
201603,14829.69,0,4038,276190,0.068916727,0,0.0282864
201604,12430.76,11400,7500,287849,0.056570281,0.013825405,0.023250692
201605,20789.86,19950,15000,290075,0.05625749,0.036704702,0.031070794
201606,17619.5,2850,7812,284465,0.058952654,0.039657278,0.035148871
201607,11892.54,19950,3883.2,223263,0.063050528,0.053584657,0.033460892
201608,18024.68,14250,11440.8,268201,0.061264265,0.047749214,0.029817161
201609,13971.1,14250,15170.4,246326,0.059486195,0.065669093,0.041332086
201610,9164.64,2850,7638,218471,0.056153523,0.042769557,0.046724821
201611,22790,5700,301.2,299164,0.060115294,0.029844455,0.030249712
201612,20283,0,11406,295025,0.064279822,0.010521005,0.023804789
201701,22349,0,3982.8,315511,0.071916016,0.006265802,0.017247444
201702,20867,0,15138.6,269451,0.072159021,0,0.03469074
201703,22752,0,7369.8,283890,0.075925474,0,0.030489888
201704,20164,0,1749.6,275247,0.076977943,0,0.029276311
201705,20918,17100,14796,295338,0.074705521,0.020012288,0.027988414
201706,21078.9,11400,11318.4,296498,0.071689677,0.032868826,0.032135332
201707,18761,34200,7869,285960,0.069216424,0.071428897,0.038714462
201708,22239,37050,15376.8,264867,0.073264568,0.097542265,0.04079214
201709,24848,37050,15127.2,237866,0.083490027,0.137315787,0.048653912
201710,19357,8550,18906.6,253490,0.087862972,0.109293158,0.065338663
201711,21481,8550,22603.2,276837,0.085507158,0.070490098,0.073727566
201712,22055,0,10996.8,262780,0.079299514,0.021560773,0.066203677
201801,24404,0,19831.95,309277,0.08003355,0.010071929,0.062943018
201802,18859,0,15181.2,273146,0.077280843,0,0.054436567
201803,24021,0,11318.4,305643,0.075764639,0,0.052171291
201804,24950,0,22540.8,321238,0.075364406,0,0.054487699
201805,25877,8550,26331,358068,0.075991752,0.008680653,0.061109966
201806,24922,8550,144.6,317539,0.075988744,0.017154121,0.049171536
201807,24656,14250,18835.2,346485,0.073824078,0.030672386,0.04433143
201808,27429,59850,22612.2,343582,0.076425706,0.082026109,0.041278039
201809,20950.712,51300,22513.8,316479,0.072560729,0.12458447,0.063545233
201810,27790,14250,18908.4,363587,0.074410063,0.122503048,0.062555097
201811,27763,0,19812.9,379885,0.07217665,0.061842481,0.057771633
201812,32336,2850,33793.8,350190,0.080362123,0.015635544,0.066304855
