datestring,pA,pB,pD,pC,month,year,year_month
20010601,0.184,,,,6,2001,200106
20010602,0.182,,,,6,2001,200106
20010604,0.177,,,,6,2001,200106
20010605,0.195,,,,6,2001,200106
20010606,0.18,,,,6,2001,200106
20010607,0.191,,,,6,2001,200106
20010608,0.19,,,,6,2001,200106
20010611,0.19,,,,6,2001,200106
20010612,0.194,,,,6,2001,200106
20010613,0.21,,,,6,2001,200106
20010614,0.185,,,,6,2001,200106
20010615,0.193,,,,6,2001,200106
20010618,0.185,,,,6,2001,200106
20010619,0.174,,,,6,2001,200106
20010620,0.197,,,,6,2001,200106
20010621,0.207,,,,6,2001,200106
20010622,0.203,,,,6,2001,200106
20010625,0.189,,,,6,2001,200106
20010626,0.193,,,,6,2001,200106
20010627,0.191,,,,6,2001,200106
20010628,0.189,,,,6,2001,200106
20010705,0.155,,,,7,2001,200107
20010706,0.166,,,,7,2001,200107
20010709,0.188,,,,7,2001,200107
20010710,0.185,,,,7,2001,200107
20010711,0.192,,,,7,2001,200107
20010712,0.192,,,,7,2001,200107
20010713,0.184,,,,7,2001,200107
20010717,0.152,,,,7,2001,200107
20010718,0.168,,,,7,2001,200107
20010719,0.177,,,,7,2001,200107
20010720,0.157,,,,7,2001,200107
20010723,0.168,,,,7,2001,200107
20010724,0.162,,,,7,2001,200107
20010725,0.142,,,,7,2001,200107
20010726,0.163,,,,7,2001,200107
20010727,0.147,,,,7,2001,200107
20010730,0.163,,,,7,2001,200107
20010731,0.194,,,,7,2001,200107
20010801,0.205,,,,8,2001,200108
20010802,0.204,,,,8,2001,200108
20010803,0.206,,,,8,2001,200108
20010806,0.192,,,,8,2001,200108
20010807,0.198,,,,8,2001,200108
20010808,0.163,,,,8,2001,200108
20010809,0.19,,,,8,2001,200108
20010810,0.194,,,,8,2001,200108
20010813,0.19,,,,8,2001,200108
20010814,0.202,,,,8,2001,200108
20010815,0.2,,,,8,2001,200108
20010816,0.211,,,,8,2001,200108
20010817,0.206,,,,8,2001,200108
20010820,0.205,,,,8,2001,200108
20010821,0.217,,,,8,2001,200108
20010822,0.211,,,,8,2001,200108
20010827,0.219,,,,8,2001,200108
20010828,0.223,,,,8,2001,200108
20010829,0.21,,,,8,2001,200108
20010830,0.21,,,,8,2001,200108
20010831,0.225,,,,8,2001,200108
20010904,0.221,,,,9,2001,200109
20010905,0.207,,,,9,2001,200109
20010906,0.175,,,,9,2001,200109
20010907,0.235,,,,9,2001,200109
20010910,0.213,,,,9,2001,200109
20010911,0.225,,,,9,2001,200109
20010912,0.222,,,,9,2001,200109
20010913,0.215,,,,9,2001,200109
20010914,0.213,,,,9,2001,200109
20010917,0.21,,,,9,2001,200109
20010918,0.178,,,,9,2001,200109
20010919,0.193,,,,9,2001,200109
20010920,0.174,,,,9,2001,200109
20010921,0.218,,,,9,2001,200109
20010924,0.211,,,,9,2001,200109
20010925,0.207,,,,9,2001,200109
20010926,0.208,,,,9,2001,200109
20010927,0.207,,,,9,2001,200109
20010928,0.178,,,,9,2001,200109
20011002,0.213,,,,10,2001,200110
20011003,0.202,,,,10,2001,200110
20011004,0.194,,,,10,2001,200110
20011005,0.201,,,,10,2001,200110
20011009,0.205,,,,10,2001,200110
20011010,0.196,,,,10,2001,200110
20011011,0.177,,,,10,2001,200110
20011012,0.205,,,,10,2001,200110
20011015,0.197,,,,10,2001,200110
20011016,0.195,,,,10,2001,200110
20011017,0.174,,,,10,2001,200110
20011018,0.198,,,,10,2001,200110
20011019,0.169,,,,10,2001,200110
20011022,0.188,,,,10,2001,200110
20011023,0.187,,,,10,2001,200110
20011024,0.188,,,,10,2001,200110
20011025,0.18,,,,10,2001,200110
20011026,0.182,,,,10,2001,200110
20011029,0.176,,,,10,2001,200110
20011030,0.199,,,,10,2001,200110
20011031,0.202,,,,10,2001,200110
20011101,0.205,,,,11,2001,200111
20011102,0.179,,,,11,2001,200111
20011106,0.192,,,,11,2001,200111
20011107,0.192,,,,11,2001,200111
20011108,0.187,,,,11,2001,200111
20011109,0.18,,,,11,2001,200111
20011112,0.196,,,,11,2001,200111
20011113,0.198,,,,11,2001,200111
20011114,0.175,,,,11,2001,200111
20011115,0.181,,,,11,2001,200111
20011116,0.195,,,,11,2001,200111
20011119,0.177,,,,11,2001,200111
20011120,0.168,,,,11,2001,200111
20011121,0.165,,,,11,2001,200111
20011126,0.173,,,,11,2001,200111
20011127,0.187,,,,11,2001,200111
