datestring,total_extracted,number_extract_points,average_exhaustion,average_sA,average_percent_extracted_per_point,date,pA,pB,pD,pC
20010602,3050.0,4.0,0.763968980866193,0.19846431677344262,25.0,6/2/2001,0.182,,,
20010604,23217.0,41.0,0.8106886927133402,0.17719113254124133,2.4390243902439024,6/4/2001,0.177,,,
20010605,46802.0,58.0,1.398748850325327,0.20997629175024576,1.7241379310344827,6/5/2001,0.195,,,
20010606,45967.0,54.0,1.1857204754626556,0.22008784950614574,1.8518518518518523,6/6/2001,0.18,,,
20010607,7310.0,20.0,0.5543722935720955,0.16826605496949384,5.0,6/7/2001,0.191,,,
20010611,41174.0,40.0,2.032639088756148,0.17439937040632436,2.500000000000001,6/11/2001,0.19,,,
20010612,59592.0,49.0,2.627655377187637,0.20793237256272654,2.0408163265306123,6/12/2001,0.19399999999999998,,,
20010613,52186.0,53.0,2.1226193303431953,0.22120379394893264,1.886792452830188,6/13/2001,0.21,,,
20010614,9433.0,19.0,0.9634054267853059,0.16757332710134637,5.2631578947368425,6/14/2001,0.185,,,
20010618,2378.0,4.0,0.7648514573335375,0.25536755418629103,25.0,6/18/2001,0.185,,,
20010619,8176.0,9.0,3.606468001435776,0.22372216796404107,11.11111111111111,6/19/2001,0.174,,,
20010620,30141.0,32.0,3.6207045418743125,0.21047532436325933,3.1250000000000004,6/20/2001,0.19699999999999998,,,
20010621,20936.0,29.0,3.492940077024086,0.20821716372143678,3.448275862068967,6/21/2001,0.207,,,
20010625,18788.0,35.0,3.4641292653387414,0.20374803953039175,2.857142857142857,6/25/2001,0.18899999999999997,,,
20010626,29634.0,60.0,3.573574232907546,0.1989961040409327,1.666666666666667,6/26/2001,0.193,,,
20010627,12109.0,38.0,3.802656778903716,0.20822443956552977,2.6315789473684212,6/27/2001,0.191,,,
20010628,1901.0,13.0,3.6930665700535923,0.1919809822609153,7.6923076923076925,6/28/2001,0.18899999999999997,,,
20010705,138455.0,133.0,4.472697380030562,0.19853843199372356,0.7518796992481204,7/5/2001,0.155,,,
20010706,8854.0,8.0,3.2602392525541166,0.19883690864569686,12.500000000000002,7/6/2001,0.166,,,
20010709,3298.0,6.0,3.0018471268189044,0.1938670609675561,16.666666666666668,7/9/2001,0.188,,,
20010710,13096.0,17.0,5.05652407189747,0.2146931950853696,5.882352941176471,7/10/2001,0.185,,,
20010711,15277.0,24.0,4.804965409430531,0.19572605509236107,4.166666666666666,7/11/2001,0.192,,,
20010712,25611.0,37.0,4.893744498879052,0.19735340672956933,2.7027027027027035,7/12/2001,0.192,,,
