extract_point,avg_sA,reserves,region
611309,0.045,34587,7700NW
611311,0.105166667,69174,7700NW
611401,0.114833333,69174,7700NW
611403,0.121166667,69174,7700NW
611405,0.135833333,69174,7700NW
611406,0.092666667,34587,7700NW
611407,0.138428571,80703,7700NW
611408,0.087,34587,7700NW
611409,0.133375,92232,7700NW
611410,0.082333333,34587,7700NW
611411,0.1235,92232,7700NW
611412,0.083333333,34587,7700NW
611501,0.124375,92232,7700NW
611502,0.078333333,34587,7700NW
611503,0.1205,92232,7700NW
611504,0.089666667,34587,7700NW
611505,0.117142857,80703,7700NW
611506,0.082,34587,7700NW
611507,0.128666667,103761,7700NW
611508,0.1094,57645,7700NW
611509,0.1518,115290,7700NW
611510,0.121666667,69174,7700NW
611511,0.158,115290,7700NW
611512,0.119285714,80703,7700NW
611601,0.161,126819,7700NW
611602,0.119555556,103761,7700NW
611603,0.165166667,138348,7700NW
611604,0.1168,115290,7700NW
611605,0.167333333,138348,7700NW
611606,0.100666667,34587,7700NW
611607,0.158416667,138348,7700NW
611703,0.202857143,76860,7700SW
611704,0.188340957,109706,7700SW
611705,0.216857143,76860,7700SW
611706,0.163949113,120639,7700SW
611707,0.174571429,76860,7700SW
611708,0.140122584,98773,7700SW
611709,0.135285714,76860,7700SW
611710,0.124875,87840,7700SW
611711,0.114,76860,7700SW
611712,0.119875,87840,7700SW
611801,0.123818182,120780,7700SW
611802,0.121222222,98820,7700SW
611803,0.13,109800,7700SW
611804,0.117888889,98820,7700SW
611805,0.127,109800,7700SW
613306,0.058666667,34587,7700NW
613307,0.046333333,34587,7700NW
613308,0.08,34587,7700NW
613309,0.121166667,69174,7700NW
613310,0.119,69174,7700NW
613311,0.134571429,80703,7700NW
613312,0.152571429,80703,7700NW
613401,0.141571429,80703,7700NW
613402,0.159857143,80703,7700NW
613403,0.172222222,103761,7700NW
613404,0.155,92232,7700NW
613405,0.198,115290,7700NW
613406,0.157,103761,7700NW
613407,0.1997,115290,7700NW
613408,0.155111111,103761,7700NW
613409,0.172,126819,7700NW
613410,0.157515352,115232,7700NW
613411,0.13925,92232,7700NW
613412,0.172781003,126600,7700NW
613501,0.147571429,80703,7700NW
613502,0.171625,92232,7700NW
613503,0.135,80703,7700NW
613504,0.1665,92232,7700NW
613505,0.139428571,80703,7700NW
613506,0.16475,92232,7700NW
613507,0.169285714,80703,7700NW
613508,0.178625,92232,7700NW
613509,0.188625,92232,7700NW
613510,0.1745,92232,7700NW
613511,0.1895,92232,7700NW
613512,0.185875,92232,7700NW
613601,0.16125,92232,7700NW
613602,0.18725,92232,7700NW
613603,0.156625,92232,7700NW
613604,0.158625,92232,7700NW
613605,0.164625,92232,7700NW
613606,0.1575,92232,7700NW
613607,0.136125,92232,7700NW
613608,0.16925,92232,7700NW
613701,0.194125,87840,7700SW
613703,0.23525,87840,7700SW
613704,0.210375,87840,7700SW
613705,0.20925,87840,7700SW
613706,0.192125,87840,7700SW
613707,0.167125,87840,7700SW
613708,0.172375,87840,7700SW
613709,0.135857143,76860,7700SW
613710,0.15725,87840,7700SW
613711,0.127706687,119940,7700SW
613712,0.140428571,76860,7700SW
613801,0.137,131760,7700SW
613802,0.1325,91864,7700SW
613803,0.139916667,131760,7700SW
613804,0.149309054,138280,7700SW
613805,0.135636364,120780,7700SW
613806,0.144838072,131540,7700SW
613807,0.122333333,98820,7700SW
613808,0.138727273,120780,7700SW
613810,0.1286,109800,7700SW
613902,0.1195,87840,7700SW
615301,0.149833333,69174,7700NW
615303,0.148285714,80703,7700NW
615304,0.093333333,34587,7700NW
615305,0.148,69174,7700NW
615306,0.11325,46116,7700NW
615307,0.143857143,80703,7700NW
615308,0.128714286,80703,7700NW
615309,0.135555556,103761,7700NW
615310,0.163111111,103761,7700NW
615311,0.1609,115290,7700NW
615312,0.177,115290,7700NW
615401,0.1684,115290,7700NW
615402,0.1753,115290,7700NW
615403,0.186714286,80703,7700NW
615404,0.187454545,126819,7700NW
615405,0.1985,92232,7700NW
615406,0.19475,138348,7700NW
615407,0.195375,92232,7700NW
615408,0.204136503,125997,7700NW
615409,0.203142857,80703,7700NW
615410,0.241428571,80703,7700NW
615411,0.21975,92232,7700NW
615412,0.230428571,80703,7700NW
615501,0.218375,92232,7700NW
615502,0.207125,92232,7700NW
615503,0.19525,92232,7700NW
615504,0.198125,92232,7700NW
615505,0.193,92232,7700NW
615506,0.188125,92232,7700NW
615507,0.18825,92232,7700NW
615508,0.1995,92232,7700NW
615509,0.175875,92232,7700NW
615510,0.1955,92232,7700NW
615511,0.163625,92232,7700NW
615512,0.176375,92232,7700NW
615601,0.160625,92232,7700NW
615602,0.1825,92232,7700NW
615603,0.170375,92232,7700NW
615604,0.160125,92232,7700NW
615605,0.15825,92232,7700NW
615606,0.170125,92232,7700NW
615607,0.1835,92232,7700NW
615608,0.179625,92232,7700NW
615702,0.1675,87840,7700SW
615703,0.180875,87840,7700SW
615704,0.19075,87840,7700SW
615705,0.193,87840,7700SW
615706,0.186625,87840,7700SW
615707,0.204375,87840,7700SW
615708,0.200875,87840,7700SW
615709,0.21475,87840,7700SW
615710,0.203,87840,7700SW
615711,0.214625,87840,7700SW
615712,0.17875,93200,7700SW
615801,0.201875,96120,7700SW
615802,0.161714286,78351,7700SW
615803,0.171625,84776,7700SW
615804,0.153285714,69517,7700SW
615805,0.160857143,70994,7700SW
615806,0.149025374,131356,7700SW
615807,0.155304748,119922,7700SW
615808,0.145727273,120780,7700SW
615809,0.157259022,131672,7700SW
615810,0.1428,109800,7700SW
615901,0.162545455,120780,7700SW
615902,0.139,98820,7700SW
615903,0.150222222,98820,7700SW
617210,0.123,34587,7700NW
617211,0.1515,46116,7700NW
