year_month,total_extracted,number_extract_points,average_exhaustion,average_sA,average_percent_extracted_per_point,run_days,average_extracted_per_day,average_pA,average_pB,average_pD,average_pC
200106,24282.0,33.0,2.26,0.0,6.19,17,1428.0,0.187,,,
200107,23311.0,29.0,4.86,0.0,17.02,16,1457.0,0.17800000000000002,,,
200108,22717.0,59.0,8.82,0.0,3.12,16,1420.0,0.19399999999999998,,,
200109,21997.0,77.0,12.34,0.0,1.46,19,1158.0,0.20199999999999999,,,
200110,21640.0,76.0,15.53,0.0,1.4,23,941.0,0.19,,,
200111,23287.0,95.0,20.45,0.0,1.07,19,1226.0,0.184,,,
200112,22232.0,80.0,21.79,0.0,1.34,18,1235.0,0.182,,,
200201,19178.0,74.0,25.46,0.204,1.45,22,872.0,0.214,,,
200202,18074.0,61.0,29.85,0.204,1.92,21,861.0,0.20600000000000002,,,
200203,17399.0,67.0,30.1,0.204,1.57,20,870.0,0.23,,,
200204,23748.0,75.0,31.33,0.212,1.37,19,1250.0,0.215,,,
200205,23976.0,79.0,37.39,0.212,1.32,21,1142.0,0.205,,,
200206,20481.0,71.0,41.96,0.212,1.43,22,931.0,0.215,,,
200207,23711.0,74.0,47.61,0.218,1.35,22,1078.0,0.222,,,
200208,20466.0,69.0,52.37,0.218,1.47,21,975.0,0.252,,,
200209,21902.0,71.0,55.47,0.218,1.46,20,1095.0,0.235,,,
200210,20215.0,58.0,58.12,0.22399999999999998,2.11,23,879.0,0.23,,,
200211,18367.0,65.0,51.95,0.239,1.72,21,875.0,0.252,,,
200212,20127.0,69.0,50.48,0.239,1.47,20,1006.0,0.23600000000000002,,,
200301,20622.0,67.0,37.1,0.23600000000000002,1.51,19,1085.0,0.23600000000000002,,,
200302,17437.0,62.0,34.75,0.23600000000000002,1.64,20,872.0,0.242,,,
200303,17879.0,57.0,36.05,0.23600000000000002,1.76,18,993.0,0.276,,,
200304,18063.0,66.0,34.26,0.249,1.54,21,860.0,0.259,,,
200305,18077.0,68.0,33.54,0.249,1.49,24,753.0,0.244,,,
200306,18327.0,66.0,38.25,0.242,1.54,22,833.0,0.253,,,
200307,15534.0,59.0,38.42,0.242,2.0,24,647.0,0.242,,,
200308,17436.0,75.0,41.3,0.24,1.37,24,727.0,0.257,,,
200309,17564.0,76.0,44.53,0.24,1.36,23,764.0,0.20600000000000002,,,
200310,20077.0,74.0,43.07,0.257,1.42,25,803.0,0.239,,,
200311,17300.0,76.0,42.5,0.257,1.36,25,692.0,0.249,,,
200312,19055.0,81.0,46.04,0.257,1.33,25,762.0,0.264,,,
200401,18980.0,95.0,48.07,0.267,1.08,21,904.0,0.268,,,
200402,20211.0,92.0,48.78,0.267,1.12,21,962.0,0.27,,,
200403,19623.0,88.0,47.23,0.267,1.17,25,785.0,0.259,,,
200404,20832.0,92.0,47.55,0.27399999999999997,1.11,24,868.0,0.261,,,
200405,21056.0,97.0,50.29,0.248,1.05,25,842.0,0.23800000000000002,,,
200406,21310.0,93.0,53.47,0.233,1.15,25,852.0,0.244,,,
200407,21947.0,94.0,57.49,0.22699999999999998,1.09,24,914.0,0.235,,,
200408,20590.0,94.0,55.49,0.23399999999999999,1.09,27,763.0,0.23800000000000002,,,
200409,21219.0,92.0,53.35,0.22399999999999998,1.18,26,816.0,0.217,,,
200410,22420.0,86.0,62.01,0.214,1.24,25,897.0,0.218,,,
200411,24754.0,91.0,62.49,0.212,1.21,29,854.0,0.19399999999999998,,,
200412,25374.0,103.0,58.68,0.2,0.98,29,875.0,0.188,,,
200501,24771.0,106.0,48.85,0.2,0.96,28,885.0,0.203,,,
200502,26365.0,99.0,43.74,0.20199999999999999,1.04,25,1055.0,0.21899999999999997,,,
200503,24142.0,89.0,44.38,0.204,1.14,26,929.0,0.217,,,
200504,24359.0,91.0,44.43,0.207,1.16,27,902.0,0.237,,,
