year_month,average_exhaustion,average_sA,number_extract_points,average_pB,Predicted_pB,Error,datetime
200908,45.33,0.243,152.0,1.464125,1.3592434548175945,-0.10488154518240544,2009-08-01
200909,46.52,0.244,141.0,1.472,1.420773422559725,-0.05122657744027492,2009-09-01
200910,42.35,0.24100000000000002,174.0,1.3192499999999998,1.2300759578171219,-0.08917404218287794,2009-10-01
200911,37.27,0.242,215.0,1.2850526315789474,1.0338923300269793,-0.2511603015519681,2009-11-01
200912,35.62,0.243,201.0,1.3446666666666665,1.0583850710839056,-0.2862815955827609,2009-12-01
201001,30.63,0.23800000000000002,209.0,1.0877826086956524,1.0296818963917258,-0.05810071230392655,2010-01-01
201002,30.1,0.23800000000000002,212.0,1.0968636363636364,1.0223224739646641,-0.07454116239897224,2010-02-01
201003,28.68,0.24,203.0,1.0908399999999998,1.039491470244389,-0.05134852975561088,2010-03-01
201004,36.45,0.23399999999999999,162.0,1.0394347826086958,1.2667202761965106,0.2272854935878148,2010-04-01
201005,30.54,0.237,188.0,0.9280434782608696,1.1016330397212135,0.17358956146034388,2010-05-01
201006,31.46,0.239,189.0,0.8419565217391305,1.0954452159725463,0.2534886942334158,2010-06-01
201007,35.25,0.239,185.0,0.8935652173913043,1.129662839400339,0.2360976220090346,2010-07-01
201008,40.17,0.239,207.0,1.1642400000000002,1.089614732156813,-0.07462526784318713,2010-08-01
201009,41.0,0.23600000000000002,222.0,1.030041666666667,1.0815279249838516,0.051486258317184674,2010-09-01
201010,43.2,0.233,214.0,0.9954545454545456,1.1440772456349184,0.14862270018037282,2010-10-01
201011,41.94,0.23199999999999998,190.0,0.8943478260869564,1.2007691936766531,0.30642136758969674,2010-11-01
201012,41.85,0.231,193.0,0.9655833333333332,1.195406517044812,0.2298231837114788,2010-12-01
201101,44.97,0.239,195.0,1.0877500000000002,1.1836045716434782,0.09585457164347799,2011-01-01
201102,45.64,0.23800000000000002,188.0,1.1526,1.2221236621297016,0.06952366212970151,2011-02-01
201103,39.47,0.23600000000000002,181.0,1.1763200000000005,1.189726872328985,0.013406872328984631,2011-03-01
201104,37.9,0.233,218.0,1.1404999999999998,1.0722967647269512,-0.06820323527304861,2011-04-01
201105,39.31,0.233,196.0,1.1867391304347827,1.1441372174994013,-0.0426019129353814,2011-05-01
201106,38.49,0.233,214.0,1.0409545454545457,1.086044988633453,0.0450904431789072,2011-06-01
201107,41.96,0.231,227.0,1.09424,1.1176560488423084,0.0234160488423083,2011-07-01
201108,41.45,0.23,216.0,1.1177916666666667,1.1360791281454834,0.018287461478816658,2011-08-01
201109,42.12,0.22899999999999998,232.0,1.0476818181818182,1.1280058412558247,0.08032402307400655,2011-09-01
201110,43.6,0.228,219.0,1.0687222222222224,1.1768215965085962,0.10809937428637384,2011-10-01
201111,41.61,0.228,240.0,1.0994285714285714,1.1214858450767315,0.022057273648160125,2011-11-01
201112,41.51,0.22699999999999998,257.0,1.1961333333333333,1.1243996208528158,-0.07173371248051752,2011-12-01
201201,43.36,0.223,250.0,1.2309999999999999,1.1796163901878511,-0.051383609812148734,2012-01-01
201202,42.5,0.222,239.0,1.0788095238095237,1.1818509340436738,0.10304141023415014,2012-02-01
201203,56.74,0.21899999999999997,230.0,1.3060999999999998,1.5210988453476355,0.2149988453476357,2012-03-01
201204,53.25,0.221,238.0,1.3522500000000002,1.4033639625180243,0.051113962518024136,2012-04-01
201205,51.56,0.22,250.0,1.2547826086956522,1.35831385541335,0.10353124671769787,2012-05-01
201206,53.29,0.218,243.0,1.2426363636363638,1.427562713614253,0.18492634997788926,2012-06-01
201207,53.41,0.215,261.0,1.3803478260869566,1.4318287113052468,0.051480885218290195,2012-07-01
201208,51.7,0.213,225.0,0.93845,1.4690725810242882,0.5306225810242882,2012-08-01
201209,54.61,0.212,236.0,0.9714499999999996,1.5330701373116322,0.5616201373116326,2012-09-01
201210,54.58,0.212,237.0,1.6114090909090906,1.5306424952519677,-0.08076659565712285,2012-10-01
201211,56.41,0.209,212.0,1.834190476190476,1.6396743665960025,-0.1945161095944734,2012-11-01
201212,54.18,0.20800000000000002,198.0,1.8142500000000008,1.5997181261351614,-0.2145318738648394,2012-12-01
201301,57.56,0.222,229.0,1.653363636363636,1.5095665835700305,-0.14379705279360544,2013-01-01
201302,58.7,0.221,239.0,1.7464736842105255,1.5317134948161544,-0.21476018939437114,2013-02-01
201303,56.83,0.21600000000000005,233.0,1.6451578947368422,1.551122598342647,-0.09403529639419506,2013-03-01
201304,58.42,0.21100000000000002,235.0,1.7514545454545456,1.641280516273266,-0.11017402918127961,2013-04-01
201305,59.46,0.209,229.0,1.769363636363636,1.6988607150675756,-0.0705029212960604,2013-05-01
201306,58.93,0.207,227.0,1.7092272727272728,1.7080342791093042,-0.0011929936179686518,2013-06-01
201307,58.85,0.205,225.0,1.833391304347826,1.7277069527115174,-0.10568435163630863,2013-07-01
201308,60.0,0.204,226.0,1.76905,1.765774357887134,-0.0032756421128659063,2013-08-01
201309,63.15,0.2,221.0,1.81345,1.8883464186311354,0.07489641863113539,2013-09-01
201310,64.81,0.203,206.0,1.8124090909090909,1.9093298710692719,0.09692078016018102,2013-10-01
201311,65.57,0.201,201.0,1.9230500000000008,1.9414941295782269,0.018444129578226054,2013-11-01
201312,64.55,0.19899999999999998,210.0,1.9363181818181816,1.9366408106026693,0.000322628784487744,2013-12-01
201401,60.23,0.20199999999999999,206.0,2.0138636363636366,1.800979134416748,-0.21288450194688857,2014-01-01
201402,56.24,0.198,183.0,2.0327142857142846,1.7033702636547974,-0.3293440220594872,2014-02-01
201403,57.24,0.195,187.0,2.0815,1.749317339754453,-0.3321826602455471,2014-03-01
201404,61.85,0.191,181.0,1.919782608695652,1.8685107330432056,-0.0512718756524464,2014-04-01
201405,63.49,0.191,188.0,1.967833333333333,1.9295836449231425,-0.03824968841019061,2014-05-01
201406,65.2,0.187,181.0,1.9287272727272724,1.9691540776993992,0.040426804972126806,2014-06-01
201407,66.96,0.185,171.0,2.1787,1.9835301017972555,-0.19516989820274455,2014-07-01
201408,65.68,0.18100000000000002,161.0,2.0986,1.9151207006912703,-0.18347929930872953,2014-08-01
201409,65.33,0.179,141.0,1.9673913043478253,1.8045548301861716,-0.1628364741616537,2014-09-01
201410,63.62,0.177,147.0,1.9044782608695647,1.7940207124579561,-0.1104575484116086,2014-10-01
201411,67.55,0.174,147.0,1.8622105263157889,1.9086798879631122,0.04646936164732329,2014-11-01
201412,62.63,0.172,170.0,1.7438181818181815,1.8752563334702428,0.1314381516520613,2014-12-01
201501,63.95,0.177,166.0,1.9494444444444443,1.896204972922971,-0.053239471521473236,2015-01-01
201502,65.43,0.174,163.0,2.0121578947368417,1.926619976870709,-0.08553791786613263,2015-02-01
201503,69.73,0.17300000000000001,154.0,2.0306,2.0101167895015717,-0.020483210498428495,2015-03-01
