year_month,average_exhaustion,average_sA,number_extract_points,average_pB,Predicted_pB,Error,datetime,cB,production,cB_per_prod,Predicted_cB,cB_Error
200908,45.33,0.243,152.0,1.464125,1.3592434548175945,-0.10488154518240543,2009-08-01,25650,667760,0.034084792999999995,0.02992517882074583,-0.004159614179254166
200909,46.52,0.244,141.0,1.472,1.420773422559725,-0.051226577440274916,2009-09-01,38950,595958,0.044231703,0.03114363788817817,-0.013088065111821826
200910,42.35,0.241,174.0,1.3192499999999998,1.230075957817122,-0.08917404218287794,2009-10-01,19950,497380,0.048009820999999994,0.027553439808737867,-0.020456381191262127
200911,37.27,0.242,215.0,1.2850526315789474,1.0338923300269791,-0.2511603015519681,2009-11-01,14250,405457,0.048805874000000006,0.02734777754621555,-0.021458096453784457
200912,35.62,0.243,201.0,1.3446666666666665,1.0583850710839056,-0.2862815955827609,2009-12-01,14250,610543,0.032014431,0.028030043783584535,-0.003984387216415468
201001,30.63,0.238,209.0,1.0877826086956524,1.0296818963917258,-0.05810071230392655,2010-01-01,14251,772139,0.023908097000000003,0.022976933898676055,-0.000931163101323948
201002,30.1,0.238,212.0,1.0968636363636364,1.022322473964664,-0.07454116239897224,2010-02-01,17099,719335,0.02169345,0.022908644173865553,0.0012151941738655532
201003,28.68,0.24,203.0,1.0908399999999998,1.039491470244389,-0.05134852975561088,2010-03-01,19950,808968,0.022300062000000002,0.02426778578954618,0.001967723789546176
201004,36.45,0.234,162.0,1.0394347826086958,1.2667202761965106,0.2272854935878148,2010-04-01,22800,753638,0.026227234,0.022532392276514032,-0.0036948417234859664
201005,30.54,0.237,188.0,0.9280434782608696,1.1016330397212135,0.17358956146034388,2010-05-01,17100,738229,0.026012296,0.022379556607135753,-0.0036327393928642475
201006,31.46,0.239,189.0,0.8419565217391305,1.0954452159725463,0.2534886942334158,2010-06-01,17100,782294,0.025064189,0.023769795291751633,-0.0012943937082483675
201007,35.25,0.239,185.0,0.8935652173913043,1.1296628394003392,0.2360976220090346,2010-07-01,17100,735054,0.022743626,0.024469859976838537,0.0017262339768385378
201008,40.17,0.239,207.0,1.1642400000000002,1.089614732156813,-0.07462526784318713,2010-08-01,19950,777912,0.023592098,0.025601478080787082,0.0020093800807870835
201009,41.0,0.236,222.0,1.030041666666667,1.0815279249838516,0.051486258317184674,2010-09-01,19950,814474,0.024490427000000002,0.024261236983305845,-0.00022919001669415712
201010,43.2,0.233,214.0,0.9954545454545456,1.1440772456349184,0.14862270018037282,2010-10-01,17100,771015,0.024117786000000002,0.023994649154721423,-0.00012313684527857915
201011,41.94,0.232,190.0,0.8943478260869564,1.2007691936766531,0.30642136758969674,2010-11-01,11400,714020,0.021069715,0.023652034832851082,0.002582319832851083
201012,41.85,0.231,193.0,0.9655833333333332,1.195406517044812,0.2298231837114788,2010-12-01,19950,788880,0.021306865,0.023629736570170812,0.0023228715701708105
201101,44.97,0.239,195.0,1.0877500000000002,1.1836045716434782,0.095854571643478,2011-01-01,19950,860523,0.021705806,0.02659065520431049,0.004884849204310489
201102,45.64,0.238,188.0,1.1526,1.2221236621297016,0.06952366212970151,2011-02-01,17100,623529,0.025077741,0.02610261427225921,0.0010248732722592108
201103,39.47,0.236,181.0,1.1763200000000005,1.189726872328985,0.013406872328984631,2011-03-01,22800,838023,0.025774361000000003,0.023893252441240145,-0.0018811085587598572
201104,37.9,0.233,218.0,1.1404999999999998,1.0722967647269512,-0.06820323527304861,2011-04-01,11400,621524,0.024627042000000002,0.02274239593134672,-0.0018846460686532812
201105,39.31,0.233,196.0,1.1867391304347827,1.1441372174994011,-0.0426019129353814,2011-05-01,19950,796810,0.023998862000000003,0.023106796601749163,-0.0008920653982508395
201106,38.49,0.233,214.0,1.0409545454545457,1.086044988633453,0.0450904431789072,2011-06-01,17100,792486,0.021914946,0.02289625779747849,0.000981311797478488
201107,41.96,0.231,227.0,1.0942399999999999,1.1176560488423084,0.0234160488423083,2011-07-01,11400,879035,0.019628648000000002,0.023653288250933394,0.004024640250933392
201108,41.45,0.23,216.0,1.1177916666666667,1.1360791281454834,0.018287461478816658,2011-08-01,17100,829456,0.018232875,0.023617188098861694,0.005384313098861695
201109,42.12,0.229,232.0,1.0476818181818182,1.1280058412558247,0.08032402307400655,2011-09-01,17100,796191,0.018205904,0.023905366042982268,0.005699462042982269
201110,43.6,0.228,219.0,1.0687222222222224,1.1768215965085962,0.10809937428637384,2011-10-01,19950,643613,0.023862404,0.02438042557593202,0.0005180215759320213
201111,41.61,0.228,240.0,1.0994285714285714,1.1214858450767315,0.022057273648160125,2011-11-01,17100,602030,0.026520275,0.02401931343604745,-0.002500961563952551
201112,41.51,0.227,257.0,1.1961333333333333,1.1243996208528158,-0.07173371248051752,2011-12-01,11400,707463,0.024806641,0.024285855963676273,-0.000520785036323728
201201,43.36,0.223,250.0,1.231,1.1796163901878511,-0.05138360981214874,2012-01-01,14250,666308,0.021636793999999997,0.026306227877126498,0.0046694338771265005
201202,42.5,0.222,239.0,1.0788095238095237,1.1818509340436738,0.10304141023415014,2012-02-01,8550,690327,0.016568981,0.0267605591800113,0.0101915781800113
201203,56.74,0.219,230.0,1.3060999999999998,1.5210988453476355,0.2149988453476357,2012-03-01,11400,640075,0.017128176000000002,0.025216874392459593,0.008088698392459591
201204,53.25,0.221,238.0,1.3522500000000002,1.4033639625180243,0.051113962518024136,2012-04-01,14250,693545,0.016897676,0.026112570322804937,0.009214894322804937
201205,51.56,0.22,250.0,1.2547826086956522,1.3583138554133503,0.10353124671769788,2012-05-01,19950,795271,0.021419603,0.027191376690381075,0.005771773690381076
