year_month,average_exhaustion,average_sA,number_extract_points,average_pD,Predicted_pD,Error,datetime
200908,45.33,0.243,152.0,0.017666666666666667,0.009232523839814422,-0.008434142826852245,2009-08-01
200909,46.52,0.244,141.0,0.018666666666666668,0.009241001800457867,-0.009425664866208801,2009-09-01
200910,42.35,0.24100000000000002,174.0,0.015900000000000008,0.009168966201941959,-0.006731033798058049,2009-10-01
200911,37.27,0.242,215.0,0.01655555555555556,0.008799045995588058,-0.007756509559967501,2009-11-01
200912,35.62,0.243,201.0,0.016238095238095246,0.00858417284850642,-0.007653922389588825,2009-12-01
201001,30.63,0.23800000000000002,209.0,0.01386956521739131,0.00846512268744904,-0.0054044425299422695,2010-01-01
201002,30.1,0.23800000000000002,212.0,0.012045454545454552,0.008432924910055057,-0.003612529635399495,2010-02-01
201003,28.68,0.24,203.0,0.009720000000000005,0.008260738061120421,-0.0014592619388795833,2010-03-01
201004,36.45,0.23399999999999999,162.0,0.008391304347826091,0.00922903688265134,0.0008377325348252491,2010-04-01
201005,30.54,0.237,188.0,0.006130434782608697,0.008543826497903502,0.002413391715294805,2010-05-01
201006,31.46,0.239,189.0,0.006304347826086959,0.0084938482455413,0.0021895004194543415,2010-06-01
201007,35.25,0.239,185.0,0.007304347826086959,0.008754174244496676,0.001449826418409717,2010-07-01
201008,40.17,0.239,207.0,0.011080000000000005,0.009181756998870135,-0.0018982430011298696,2010-08-01
201009,41.0,0.23600000000000002,222.0,0.010958333333333336,0.009508759344718069,-0.001449573988615267,2010-09-01
201010,43.2,0.233,214.0,0.010318181818181822,0.009928124669526514,-0.00039005714865530776,2010-10-01
201011,41.94,0.23199999999999998,190.0,0.009173913043478263,0.009811194111845764,0.0006372810683675009,2010-11-01
201012,41.85,0.231,193.0,0.009041666666666672,0.009894177392498243,0.000852510725831571,2010-12-01
201101,44.97,0.239,195.0,0.009458333333333338,0.009589366307198708,0.00013103297386536997,2011-01-01
201102,45.64,0.23800000000000002,188.0,0.009650000000000002,0.009686965655799878,3.6965655799876124e-05,2011-02-01
201103,39.47,0.23600000000000002,181.0,0.009960000000000005,0.009269619484207292,-0.0006903805157927132,2011-03-01
201104,37.9,0.233,218.0,0.007687500000000003,0.009381010485817649,0.0016935104858176453,2011-04-01
201105,39.31,0.233,196.0,0.00865217391304348,0.009486053268329103,0.000833879355285623,2011-05-01
201106,38.49,0.233,214.0,0.008200000000000002,0.009431578349068846,0.0012315783490688438,2011-06-01
201107,41.96,0.231,227.0,0.008240000000000004,0.009985299866553339,0.0017452998665533348,2011-07-01
201108,41.45,0.23,216.0,0.00841666666666667,0.009982326949314502,0.0015656602826478322,2011-08-01
201109,42.12,0.22899999999999998,232.0,0.00913636363636364,0.010172391065890383,0.0010360274295267424,2011-09-01
201110,43.6,0.228,219.0,0.01066666666666667,0.010408209988921833,-0.0002584566777448366,2011-10-01
201111,41.61,0.228,240.0,0.009142857142857144,0.010205683984535235,0.0010628268416780912,2011-11-01
201112,41.51,0.22699999999999998,257.0,0.010066666666666668,0.010295830413367093,0.0002291637467004247,2011-12-01
201201,43.36,0.223,250.0,0.011090909090909096,0.010822187613147717,-0.0002687214777613786,2012-01-01
201202,42.5,0.222,239.0,0.009333333333333336,0.010821679321369536,0.0014883459880362,2012-02-01
201203,56.74,0.21899999999999997,230.0,0.011000000000000001,0.012959484536736975,0.0019594845367369735,2012-03-01
201204,53.25,0.221,238.0,0.012400000000000005,0.012303818877628202,-9.618112237180267e-05,2012-04-01
201205,51.56,0.22,250.0,0.011652173913043485,0.012139857181514403,0.0004876832684709183,2012-05-01
201206,53.29,0.218,243.0,0.012636363636363642,0.012599383540852119,-3.6980095511522995e-05,2012-06-01
201207,53.41,0.215,261.0,0.014347826086956528,0.0127602233292475,-0.001587602757709028,2012-07-01
201208,51.7,0.213,225.0,0.012750000000000004,0.01305040030864422,0.00030040030864421537,2012-08-01
201209,54.61,0.212,236.0,0.013200000000000009,0.013474553280746222,0.00027455328074621303,2012-09-01
