year_month,average_exhaustion,average_sA,number_extract_points,average_pD,Predicted_pD,Error,datetime,cCD,production,cCD_per_prod,Predicted_cCD,cCD_Error
200908,45.33,0.243,152.0,0.017666666666666667,0.009232523839814422,-0.008434142826852245,2009-08-01,30000.0,667760,0.047208855,0.04847995616900825,0.0012711011690082485
200909,46.52,0.244,141.0,0.018666666666666668,0.009241001800457869,-0.0094256648662088,2009-09-01,30000.0,595958,0.050486407999999997,0.051895216900902125,0.0014088089009021282
200910,42.35,0.241,174.0,0.015900000000000008,0.009168966201941959,-0.006731033798058049,2009-10-01,22500.0,497380,0.046845775,0.04231725280694953,-0.0045285221930504715
200911,37.27,0.242,215.0,0.01655555555555556,0.008799045995588058,-0.007756509559967501,2009-11-01,15000.0,405457,0.045036179,0.041650940908264225,-0.0033852380917357774
200912,35.62,0.243,201.0,0.016238095238095246,0.00858417284850642,-0.007653922389588825,2009-12-01,30000.0,610543,0.044602149,0.03983225143896582,-0.0047698975610341796
201001,30.63,0.238,209.0,0.01386956521739131,0.00846512268744904,-0.00540444252994227,2010-01-01,22500.0,772139,0.037748743,0.0318608807887365,-0.0058878622112635
201002,30.1,0.238,212.0,0.012045454545454552,0.008432924910055057,-0.0036125296353994953,2010-02-01,22500.0,719335,0.035680016,0.03091755191306379,-0.004762464086936213
201003,28.68,0.24,203.0,0.009720000000000005,0.00826073806112042,-0.0014592619388795831,2010-03-01,30000.0,808968,0.03260243,0.0338745015974789,0.0012720715974788993
201004,36.45,0.234,162.0,0.008391304347826091,0.00922903688265134,0.0008377325348252491,2010-04-01,37500.0,753638,0.039440108,0.04219582326254303,0.002755715262543028
201005,30.54,0.237,188.0,0.006130434782608697,0.008543826497903502,0.002413391715294805,2010-05-01,37500.0,738229,0.045635605999999995,0.046760773683048526,0.0011251676830485308
201006,31.46,0.239,189.0,0.006304347826086959,0.0084938482455413,0.0021895004194543415,2010-06-01,30000.0,782294,0.046170874,0.04656535583048984,0.0003944818304898387
201007,35.25,0.239,185.0,0.007304347826086959,0.008754174244496676,0.001449826418409717,2010-07-01,37500.0,735054,0.046551282,0.04508220764110109,-0.0014690743588989114
201008,40.17,0.239,207.0,0.011080000000000005,0.009181756998870135,-0.0018982430011298696,2010-08-01,22500.0,777912,0.039211244,0.03838222719172492,-0.0008290168082750807
201009,41.0,0.236,222.0,0.010958333333333336,0.009508759344718069,-0.001449573988615267,2010-09-01,37500.0,814474,0.04189152,0.0392184510114402,-0.002673068988559804
201010,43.2,0.233,214.0,0.010318181818181822,0.009928124669526514,-0.00039005714865530776,2010-10-01,30000.0,771015,0.038080715,0.04222576479785346,0.004145049797853462
201011,41.94,0.232,190.0,0.009173913043478263,0.009811194111845764,0.0006372810683675009,2010-11-01,30000.0,714020,0.04240035599999999,0.04402254144663037,0.0016221854466303767
201012,41.85,0.231,193.0,0.009041666666666672,0.009894177392498245,0.000852510725831571,2010-12-01,37500.0,788880,0.042877592,0.044323158084885184,0.0014455660848851845
201101,44.97,0.239,195.0,0.009458333333333338,0.009589366307198708,0.00013103297386536997,2011-01-01,30000.0,860523,0.041253724,0.04584339762844667,0.004589673628446672
201102,45.64,0.238,188.0,0.009650000000000002,0.009686965655799878,3.696565579987613e-05,2011-02-01,22500.0,623529,0.039596433,0.04593453372598723,0.006338100725987228
201103,39.47,0.236,181.0,0.009960000000000005,0.009269619484207292,-0.0006903805157927133,2011-03-01,37500.0,838023,0.038758438,0.04001991447859198,0.001261476478591983
201104,37.9,0.233,218.0,0.007687500000000003,0.009381010485817649,0.0016935104858176453,2011-04-01,37500.0,621524,0.046805781,0.04553943141610686,-0.0012663495838931352
201105,39.31,0.233,196.0,0.00865217391304348,0.009486053268329105,0.000833879355285623,2011-05-01,37500.0,796810,0.049859130999999994,0.04345497768635847,-0.006404153313641525
201106,38.49,0.233,214.0,0.008200000000000002,0.009431578349068844,0.0012315783490688438,2011-06-01,37500.0,792486,0.050886097000000005,0.044263372047267865,-0.00662272495273214
201107,41.96,0.231,227.0,0.008240000000000004,0.00998529986655334,0.0017452998665533348,2011-07-01,37500.0,879035,0.045577356,0.0468483696862888,0.001271013686288798
201108,41.45,0.23,216.0,0.00841666666666667,0.009982326949314502,0.0015656602826478322,2011-08-01,37500.0,829456,0.044982420999999995,0.045872770384415035,0.0008903493844150401
201109,42.12,0.229,232.0,0.00913636363636364,0.010172391065890385,0.0010360274295267424,2011-09-01,30000.0,796191,0.041921489,0.044277553496187345,0.002356064496187346
201110,43.6,0.228,219.0,0.01066666666666667,0.010408209988921831,-0.00025845667774483655,2011-10-01,30000.0,643613,0.042965548,0.04185172625322254,-0.0011138217467774603
201111,41.61,0.228,240.0,0.009142857142857144,0.010205683984535236,0.0010628268416780912,2011-11-01,30000.0,602030,0.04407802,0.043837827659935664,-0.00024019234006433798
201112,41.51,0.227,257.0,0.010066666666666668,0.010295830413367093,0.00022916374670042472,2011-12-01,30587.4,707463,0.0463812,0.041386077545277004,-0.004995122454722993
201201,43.36,0.223,250.0,0.011090909090909096,0.010822187613147715,-0.0002687214777613786,2012-01-01,39913.2,666308,0.05086575,0.0409030256550732,-0.009962724344926802
201202,42.5,0.222,239.0,0.009333333333333336,0.010821679321369536,0.0014883459880362,2012-02-01,28085.4,690327,0.047762267000000004,0.04404872581055655,-0.0037135411894434547
201203,56.74,0.219,230.0,0.011,0.012959484536736976,0.0019594845367369735,2012-03-01,31795.2,640075,0.049979116,0.05285272877914101,0.002873612779141013
201204,53.25,0.221,238.0,0.012400000000000005,0.012303818877628202,-9.618112237180268e-05,2012-04-01,31734.0,693545,0.04526531599999999,0.04734414280652458,0.002078826806524589
201205,51.56,0.22,250.0,0.011652173913043485,0.012139857181514405,0.00048768326847091833,2012-05-01,40113.0,795271,0.048683657000000005,0.04701532991703703,-0.001668327082962974
201206,53.29,0.218,243.0,0.012636363636363642,0.01259938354085212,-3.6980095511522995e-05,2012-06-01,32131.62,713256,0.047218538,0.047098892700483695,-0.0001196452995163022
201207,53.41,0.215,261.0,0.014347826086956528,0.0127602233292475,-0.001587602757709028,2012-07-01,36250.2,761776,0.047788696,0.046351214865137366,-0.0014374811348626323
201208,51.7,0.213,225.0,0.012750000000000004,0.01305040030864422,0.00030040030864421537,2012-08-01,36129.6,673639,0.048640029,0.045760849636985804,-0.0028791793630141976
201209,54.61,0.212,236.0,0.013200000000000009,0.013474553280746222,0.00027455328074621303,2012-09-01,32139.0,731427,0.048235543,0.0475338472552371,-0.0007016957447628994
201210,54.58,0.212,237.0,0.011409090909090914,0.013463040098320542,0.0020539491892296283,2012-10-01,40309.2,759219,0.050167977,0.050067838379888284,-0.00010013862011171853
201211,56.41,0.209,212.0,0.01352380952380953,0.014144727069508162,0.0006209175456986326,2012-11-01,36244.8,671149,0.050279051,0.04848006618638131,-0.0017989848136186898
201212,54.18,0.208,198.0,0.013700000000000007,0.013993572426352477,0.00029357242635246784,2012-12-01,24105.6,591446,0.049786776,0.04692642182875542,-0.0028603541712445765
201301,57.56,0.222,229.0,0.013954545454545464,0.01272679354115708,-0.001227751913388385,2013-01-01,36219.6,761237,0.04771641099999999,0.04885552042069147,0.001139109420691474
201302,58.7,0.221,239.0,0.0148421052631579,0.012961817630754312,-0.0018802876324035874,2013-02-01,28099.8,694375,0.043196137999999995,0.049005472890681794,0.0058093348906817985
201303,56.83,0.21600000000000005,233.0,0.014368421052631588,0.01330162710203116,-0.0010667939506004264,2013-03-01,30000.0,648637,0.044823308,0.0482508704289068,0.003427562428906801
201304,58.42,0.211,235.0,0.014136363636363643,0.014052936971312708,-8.342666505093549e-05,2013-04-01,30000.0,717416,0.04275801,0.04920461725290806,0.006446607252908063
201305,59.46,0.209,229.0,0.015409090909090916,0.014441276357528171,-0.0009678145515627444,2013-05-01,22500.0,731610,0.039329482,0.0492030200455925,0.009873538045592503
201306,58.93,0.207,227.0,0.01518181818181819,0.014641550174287784,-0.0005402680075304051,2013-06-01,30000.0,690261,0.038564251,0.04903535926403131,0.01047110826403131
201307,58.85,0.205,225.0,0.014782608695652184,0.014894643777547827,0.00011203508189564297,2013-07-01,30000.0,683707,0.03918164,0.04908698679718471,0.009905346797184716
201308,60.0,0.204,226.0,0.01445000000000001,0.015129891185160409,0.0006798911851604012,2013-08-01,37500.0,620238,0.048891639,0.04976422687605462,0.0008725878760546188
201309,63.15,0.2,221.0,0.01580000000000001,0.015924039253008743,0.00012403925300873492,2013-09-01,30000.0,613608,0.050846052,0.050017585257723124,-0.0008284667422768788
201310,64.81,0.203,206.0,0.016272727272727276,0.015597070682334674,-0.0006756565903925996,2013-10-01,30000.0,676902,0.051027137,0.04999603674724891,-0.001031100252751091
201311,65.57,0.201,201.0,0.01705000000000001,0.015828771388663385,-0.001221228611336625,2013-11-01,26557.2,621223,0.045276825,0.04975035423736798,0.004473529237367983
201312,64.55,0.199,210.0,0.01840909090909092,0.01612552450988353,-0.002283566399207387,2013-12-01,28375.2,725754,0.041965157,0.050262308468784406,0.008297151468784403
201401,60.23,0.202,206.0,0.019772727272727282,0.01542234251595234,-0.004350384756774942,2014-01-01,56493.0,783546,0.052299553,0.053205447820477224,0.0009058948204772252
201402,56.24,0.198,183.0,0.01947619047619048,0.015450140750769838,-0.004026049725420642,2014-02-01,40393.8,721960,0.05613958,0.05385229776255641,-0.002287282237443594
201403,57.24,0.195,187.0,0.018909090909090917,0.016000084652053454,-0.002909006257037463,2014-03-01,48411.0,773988,0.063741251,0.05256493992466891,-0.01117631107533109
201404,61.85,0.191,181.0,0.015652173913043486,0.01664025880441473,0.0009880848913712444,2014-04-01,52779.6,863017,0.060019712,0.04981568751064692,-0.010204024489353085
201405,63.49,0.191,188.0,0.01725,0.01682823110706466,-0.0004217688929353432,2014-05-01,52952.4,883785,0.061148688,0.04996194758471143,-0.011186740415288568
201406,65.2,0.187,181.0,0.017000000000000008,0.017163537604026745,0.00016353760402673667,2014-06-01,40629.6,831600,0.056764460999999995,0.04979386279861241,-0.006970598201387589
201407,66.96,0.185,171.0,0.019400000000000004,0.01701529923826134,-0.002384700761738669,2014-07-01,48886.2,803291,0.056564719000000006,0.04982997166417109,-0.0067347473358289195
201408,65.68,0.181,161.0,0.018650000000000003,0.01709076813806535,-0.0015592318619346533,2014-08-01,44787.6,728364,0.05682983900000001,0.05001354723716388,-0.00681629176283613
201409,65.33,0.179,141.0,0.01821739130434783,0.016293459098482278,-0.001923932205865553,2014-09-01,48911.4,765334,0.062074829000000005,0.04994167794027256,-0.012133151059727447
201410,63.62,0.177,147.0,0.018695652173913047,0.016945791339763826,-0.0017498608341492206,2014-10-01,48918.6,803465,0.062084232,0.050745917025978825,-0.011338314974021178
201411,67.55,0.174,147.0,0.0196842105263158,0.016881481679909906,-0.002802728846405894,2014-11-01,24440.4,693754,0.054040899999999996,0.04966184907946314,-0.0043790509205368575
201412,62.63,0.172,170.0,0.019136363636363646,0.01848395592656073,-0.000652407709802915,2014-12-01,32576.4,755889,0.047017453,0.05149401212848215,0.0044765591284821465
201501,63.95,0.177,166.0,0.018666666666666668,0.01780189624902574,-0.0008647704176409331,2015-01-01,40629.6,768400,0.044023673,0.050618215588093186,0.006594542588093187
201502,65.43,0.174,163.0,0.0206842105263158,0.017885030251519437,-0.002799180274796365,2015-02-01,36547.2,712588,0.049065370999999997,0.05169169894070433,0.0026263279407043316
201503,69.73,0.173,154.0,0.02095000000000001,0.017132160393716844,-0.0038178396062831656,2015-03-01,32495.4,749508,0.049169422000000004,0.04888165964380924,-0.00028776235619076135
201504,68.3,0.171,152.0,0.019619047619047626,0.017328364675984528,-0.0022906829430630986,2015-04-01,36626.4,776615,0.047200822,0.04920720797952322,0.002006385979523219
201505,54.26,0.17,162.0,0.02068181818181819,0.018520248917097974,-0.002161569264720217,2015-05-01,36640.8,818857,0.045101707000000005,0.057020709251715304,0.0119190022517153
201506,67.29,0.168,135.0,0.01895238095238096,0.016623121288835637,-0.002329259663545323,2015-06-01,44773.2,730375,0.050751576,0.04947744899434081,-0.0012741270056591883
201507,68.81,0.168,126.0,0.020590909090909097,0.01581414259838916,-0.004776766492519933,2015-07-01,36466.2,734913,0.05160802,0.04935680698539236,-0.0022512130146076365
201508,71.11,0.16899999999999998,132.0,0.020047619047619054,0.015822755976441574,-0.0042248630711774786,2015-08-01,20142.0,758124,0.045597217,0.04755817632331048,0.001960959323310481
201509,70.03,0.16699999999999998,134.0,0.02071428571428572,0.016241042295433085,-0.004473243418852635,2015-09-01,49023.0,759300,0.046898487999999995,0.04853996693181752,0.0016414789318175277
201510,61.45,0.17,168.0,0.018076923076923084,0.018636601282038427,0.0005596782051153389,2015-10-01,16212.6,442348,0.043565068,0.05072043040978223,0.007155362409782234
201511,60.05,0.17,174.0,0.018142857142857145,0.018849847736694944,0.0007069905938377995,2015-11-01,26506.8,453561,0.055426475,0.05099244639246891,-0.0044340286075310945
201512,62.36,0.171,192.0,0.01911764705882353,0.019081780209331732,-3.586684949180227e-05,2015-12-01,52500.0,555628,0.065599017,0.05156782028582105,-0.014031196714178948
201601,37.86,0.159,164.0,0.021153846153846155,0.018465424844063303,-0.002688421309782852,2016-01-01,11621.4,286757,0.069932081,0.05951669907982471,-0.010415381920175285
