pB_metric_date,pB_metric,recirc_date,recirc_pB
2/5/2019,5.7,2/5/2019,3.508
2/6/2019,5.07,2/6/2019,3.338
2/7/2019,5.91,2/7/2019,3.014
2/8/2019,5.7,2/8/2019,3.106
2/11/2019,4.61,2/11/2019,3.091
2/12/2019,8.08,2/12/2019,3.151
2/13/2019,10.42,2/13/2019,4.401
2/19/2019,7.76,2/19/2019,4.205
2/20/2019,6.11,2/21/2019,3.409
2/21/2019,6.1,2/22/2019,3.31
2/22/2019,7.34,2/25/2019,3.541
2/25/2019,7.61,2/26/2019,3.17
2/26/2019,6.37,2/27/2019,3.431
2/27/2019,6.86,3/5/2019,3.543
3/4/2019,7.35,3/6/2019,2.776
3/5/2019,7.23,3/7/2019,3.362
3/6/2019,4.86,3/8/2019,4.067
3/7/2019,11.17,3/11/2019,4.212
3/8/2019,10.85,3/12/2019,4.023
3/11/2019,9.08,3/13/2019,3.183
3/12/2019,7.19,3/18/2019,2.89
3/13/2019,4.27,3/19/2019,2.777
3/18/2019,3.22,3/20/2019,3.239
3/19/2019,3.49,3/21/2019,3.983
3/20/2019,7.08,3/22/2019,4.086
3/21/2019,9.74,3/25/2019,3.417
3/22/2019,8.71,3/26/2019,3.895
3/25/2019,6.42,3/27/2019,3.707
3/26/2019,7.26,3/28/2019,3.652
3/27/2019,7.09,4/2/2019,3.263
3/28/2019,7.02,4/3/2019,3.918
4/2/2019,6.56,4/4/2019,4.044
4/3/2019,9.82,4/5/2019,5.78
4/4/2019,10.73,4/8/2019,4.134
4/5/2019,12.9,4/9/2019,4.569
4/8/2019,8.9,4/10/2019,3.972
4/9/2019,7.77,4/16/2019,4.055
4/10/2019,7.23,4/17/2019,3.094
4/16/2019,5.3,4/18/2019,3.717
4/17/2019,8.66,4/19/2019,3.961
4/18/2019,9.12,4/22/2019,3.767
4/19/2019,9.61,4/23/2019,3.98
4/22/2019,7.84,4/24/2019,4.299
4/23/2019,9.27,4/30/2019,3.649
4/24/2019,9.3,5/1/2019,4.14
4/29/2019,6.87,5/2/2019,4.658
4/30/2019,8.78,5/3/2019,4.121
5/1/2019,10.11,5/6/2019,4.411
5/2/2019,9.12,5/7/2019,4.628
5/3/2019,9.26,5/8/2019,4.164
5/6/2019,9.79,5/13/2019,4.427
5/7/2019,7.89,5/14/2019,3.883
5/8/2019,8.16,5/15/2019,3.953
5/13/2019,8.38,5/16/2019,3.724
5/14/2019,6.97,5/17/2019,3.754
