region,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rU,201810,1001.0,329230.0,2.531068818786691,48068.2,0.30404276645506184,0.14600188318197005
rU,201811,1720.0,582142.0,5.113421656712527,79630.53701097399,0.29546055773333657,0.13678885394108994
rU,201812,9842.0,1053994.0,19.647049644633153,154796.485021948,0.9337814067252755,0.14686657136752962
rU,201901,32907.0,2196210.0,26.560156755140508,305035.101,1.498353982542653,0.13889159096807682
rU,201902,29638.0,2592000.0,25.801038742649972,354199.399087802,1.1434413580246914,0.13665100273449152
rU,201903,11415.0,681042.0,5.870678408296691,91481.15702195,1.6761080814399112,0.13432527953041076
rU,201904,16298.0,2163117.0,19.469720539247543,346129.49503294297,0.7534497671646979,0.1600142271698401
rU,201907,10467.0,1800866.0,26.66924562296052,456643.351989329,0.5812203684227477,0.2535687563590678
rU,201908,18216.0,1888858.0,47.59784689209976,578531.63091237,0.9643922412378273,0.3062864603439592
rU,201909,7703.0,1350839.0,15.755612417384917,340123.081923129,0.5702382001111901,0.2517865429730182
rU,201910,52160.0,4985100.0,103.32358668163249,786495.9869340879,1.0463180277226134,0.15776935004996648
rU,201911,46385.0,4150613.0,105.95827889639766,721467.0209670769,1.1175457697453364,0.173821799567215
rU,201912,68761.0,4728707.0,34.03507367534758,846401.6160094589,1.4541184302601113,0.17899218877580253
rU,202001,86108.0,5523523.0,39.63122535699952,1051075.205967138,1.558932587046347,0.19029072676390377
rU,202002,143914.0,8180414.0,120.63558025371091,1469369.6829013177,1.7592508154232782,0.17962045477176555
rU,202003,646193.0,29458899.0,132.76546700685427,5594906.839992144,2.1935409059245563,0.1899224692678482
rU,202004,544566.0,21515222.0,49.80457919222326,4096297.766836654,2.531073116512579,0.19039068092519118
rV,200408,769.0,197748.0,3.548168611440234,35133.228065916,0.38887877500657403,0.177666667
rV,200412,446.0,98892.0,1.6339390386869872,16690.772021976,0.45099704728390566,0.16877777800000002
rV,200501,16796.0,3799322.0,40.201517926357596,761183.4170550578,0.442078876178434,0.2003471716940701
rV,200502,35952.0,4884755.0,39.828723691880185,981947.3209246941,0.7360041598810995,0.20102283961523026
rV,200503,24568.0,3821923.0,25.81920985028136,816424.5301758148,0.6428177647744343,0.21361616395092595
rV,200504,169710.0,15106675.0,107.95561403424354,3012580.025503336,1.1234106777302086,0.19942045655336704
rV,200505,1119079.0,44174708.0,259.18892128220784,8895938.50705301,2.5333025404491636,0.20138081064515492
rV,200506,2168361.0,53924239.0,281.84837081019333,11415589.921231642,4.021124897098687,0.21169682007439442
rV,200507,2951980.0,49865364.0,261.9544235365438,10805189.03098133,5.91990063483744,0.21668725873496741
rV,200508,4458772.0,58620091.0,240.97911687434356,12200285.305432715,7.60621814797251,0.20812463947612628
