zone,year_month,datestring
611,201501,3
611,201503,3
611,201504,17
611,201505,19
611,201506,25
611,201507,33
611,201508,21
611,201509,44
611,201510,58
611,201511,63
611,201512,134
611,201601,118
611,201602,119
611,201603,28
611,201604,93
611,201605,77
611,201606,144
611,201607,110
611,201608,139
611,201609,101
611,201610,125
611,201611,151
611,201612,140
611,201701,129
611,201702,126
611,201703,204
611,201704,124
611,201705,181
611,201706,203
611,201707,172
611,201708,244
611,201709,165
611,201710,142
611,201711,160
611,201712,126
611,201801,128
611,201802,153
611,201803,166
611,201804,113
611,201805,122
611,201806,157
611,201807,185
611,201808,149
611,201809,126
611,201810,188
611,201811,198
611,201812,100
611,201901,192
611,201902,165
611,201903,128
611,201904,179
611,201905,195
611,201906,154
611,201907,216
611,201908,191
611,201909,162
611,201910,178
611,201911,156
611,201912,55
611,202001,123
611,202002,151
611,202003,140
611,202004,21
613,201411,2
613,201412,13
613,201501,21
613,201502,24
613,201503,71
613,201504,115
613,201505,130
613,201506,117
613,201507,81
613,201508,48
613,201509,102
613,201510,121
613,201511,135
613,201512,225
613,201601,187
613,201602,82
613,201603,103
613,201604,118
613,201605,108
613,201606,114
613,201607,156
613,201608,248
613,201609,202
613,201610,133
613,201611,284
613,201612,219
613,201701,213
613,201702,163
613,201703,218
613,201704,234
613,201705,257
613,201706,273
613,201707,126
613,201708,258
613,201709,225
613,201710,221
613,201711,231
613,201712,120
613,201801,173
613,201802,248
613,201803,226
613,201804,206
613,201805,190
613,201806,204
613,201807,204
613,201808,182
613,201809,175
613,201810,253
613,201811,224
613,201812,126
613,201901,232
613,201902,213
613,201903,190
613,201904,167
613,201905,243
613,201906,242
613,201907,287
613,201908,268
613,201909,144
613,201910,264
613,201911,206
613,201912,97
613,202001,198
613,202002,117
613,202003,176
613,202004,70
615,201407,1
615,201408,2
615,201410,9
615,201411,6
615,201412,31
615,201501,60
615,201502,99
615,201503,110
615,201504,129
615,201505,204
615,201506,175
615,201507,91
615,201508,99
615,201509,195
615,201510,151
615,201511,185
615,201512,265
615,201601,189
615,201602,186
615,201603,62
615,201604,133
615,201605,83
615,201607,4
615,201608,64
615,201609,162
615,201610,121
615,201611,137
615,201612,103
615,201701,109
615,201702,110
615,201703,24
615,201704,13
615,201705,25
615,201707,126
615,201708,166
615,201709,146
615,201710,149
615,201711,101
615,201712,78
615,201801,105
615,201802,153
615,201803,178
615,201804,100
615,201805,60
615,201806,110
615,201807,192
615,201808,217
615,201809,181
615,201810,223
615,201811,184
615,201812,171
615,201901,235
615,201902,202
615,201903,220
615,201904,209
615,201905,205
615,201906,159
615,201907,232
615,201908,167
615,201909,178
615,201910,191
615,201911,127
615,201912,119
615,202001,131
615,202002,117
615,202003,148
615,202004,47
617,201404,5
617,201406,5
617,201407,2
617,201408,7
617,201410,19
617,201411,15
617,201412,68
617,201501,70
617,201502,94
617,201503,148
617,201504,140
617,201505,233
617,201506,194
617,201507,168
617,201508,178
617,201509,217
617,201510,188
617,201511,188
617,201512,260
617,201601,236
617,201602,203
617,201603,113
617,201604,140
617,201605,176
617,201606,201
617,201607,297
617,201608,330
617,201609,321
617,201610,307
617,201611,389
617,201612,335
617,201701,259
617,201702,323
617,201703,255
617,201704,327
617,201705,263
617,201706,339
617,201707,279
617,201708,360
617,201709,254
617,201710,213
617,201711,319
617,201712,254
617,201801,303
617,201802,261
617,201803,273
617,201804,261
617,201805,270
617,201806,315
617,201807,251
617,201808,270
617,201809,220
617,201810,315
617,201811,148
617,201812,199
617,201901,260
617,201902,248
617,201903,295
617,201904,304
617,201905,388
617,201906,270
617,201907,375
617,201908,318
617,201909,336
617,201910,282
617,201911,262
617,201912,195
617,202001,186
617,202002,183
617,202003,152
617,202004,39
621,201402,1
621,201403,3
621,201404,5
621,201405,5
621,201406,15
621,201407,9
621,201408,14
621,201409,6
621,201410,32
621,201411,24
621,201412,153
621,201501,170
621,201502,154
621,201503,177
621,201504,193
621,201505,263
621,201506,213
621,201507,157
621,201508,177
621,201509,204
621,201510,181
621,201511,233
621,201512,309
621,201601,230
621,201602,141
621,201603,41
621,201604,191
621,201605,171
621,201606,273
621,201607,308
621,201608,363
621,201609,291
621,201610,294
621,201611,348
621,201612,335
621,201701,195
621,201702,198
621,201703,376
621,201704,286
621,201705,361
621,201706,228
621,201707,276
621,201708,364
621,201709,306
621,201710,304
621,201711,346
621,201712,203
621,201801,304
621,201802,316
621,201803,351
621,201804,292
621,201805,320
621,201806,309
621,201807,344
621,201808,362
621,201809,289
621,201810,275
621,201811,358
621,201812,288
621,201901,357
621,201902,273
621,201903,262
621,201904,293
621,201905,374
621,201906,355
621,201907,426
621,201908,327
621,201909,309
621,201910,338
621,201911,256
621,201912,221
621,202001,217
621,202002,236
621,202003,189
621,202004,63
623,201401,2
623,201402,3
623,201403,7
623,201404,1
623,201405,11
623,201406,14
623,201407,24
623,201408,20
623,201409,16
623,201410,26
623,201411,52
623,201412,157
623,201501,164
623,201502,117
623,201503,146
623,201504,213
623,201505,249
623,201506,184
623,201507,160
623,201508,168
623,201509,203
623,201510,246
623,201511,216
623,201512,313
623,201601,200
623,201602,141
623,201603,98
623,201604,134
623,201605,205
623,201606,248
623,201607,333
623,201608,174
623,201609,291
623,201610,266
623,201611,369
623,201612,333
623,201701,359
623,201702,248
623,201703,357
623,201704,287
623,201705,305
623,201706,291
623,201707,286
623,201708,285
623,201709,280
623,201710,196
623,201711,325
623,201712,248
623,201801,263
623,201802,306
623,201803,327
623,201804,270
623,201805,289
623,201806,343
623,201807,305
623,201808,319
623,201809,254
623,201810,315
623,201811,390
623,201812,284
623,201901,212
623,201902,223
623,201903,266
623,201904,329
623,201905,358
623,201906,322
623,201907,433
623,201908,374
623,201909,334
623,201910,336
623,201911,220
623,201912,237
623,202001,237
623,202002,200
623,202003,216
623,202004,57
625,201310,3
625,201311,1
625,201401,3
625,201402,9
625,201403,7
625,201404,9
625,201405,11
625,201406,7
625,201407,25
625,201408,29
625,201409,29
625,201410,28
625,201411,32
625,201412,150
625,201501,120
625,201502,149
625,201503,135
625,201504,124
625,201505,283
625,201506,108
625,201507,137
625,201508,164
625,201509,221
625,201510,213
625,201511,257
625,201512,317
625,201601,251
625,201602,149
625,201603,94
625,201604,182
625,201605,156
625,201606,218
625,201607,234
625,201608,260
625,201609,240
625,201610,297
625,201611,225
625,201612,325
625,201701,294
625,201702,274
625,201703,254
625,201704,175
625,201705,249
625,201706,337
625,201707,277
625,201708,276
625,201709,235
625,201710,259
625,201711,255
625,201712,226
625,201801,257
625,201802,277
625,201803,252
625,201804,231
625,201805,207
625,201806,296
625,201807,260
625,201808,263
625,201809,217
625,201810,88
625,201811,268
625,201812,268
625,201901,333
625,201902,201
625,201903,186
625,201904,229
625,201905,300
625,201906,158
625,201907,220
625,201908,270
625,201909,241
625,201910,351
625,201911,168
625,201912,139
625,202001,255
625,202002,237
625,202003,270
625,202004,69
627,201311,1
627,201401,12
627,201402,16
627,201403,5
627,201404,10
627,201405,15
627,201407,29
627,201408,34
627,201409,15
627,201410,36
627,201411,51
627,201412,187
627,201501,152
627,201502,188
627,201503,122
627,201504,172
627,201505,236
627,201506,11
627,201507,65
627,201508,148
627,201509,208
627,201510,185
627,201511,188
627,201512,286
627,201601,196
627,201602,136
627,201603,133
627,201604,72
627,201605,132
627,201606,232
627,201607,260
627,201608,215
627,201609,236
627,201610,231
627,201611,255
627,201612,240
627,201701,255
627,201702,168
627,201703,316
627,201704,302
627,201705,272
627,201706,260
627,201707,200
627,201708,286
627,201709,252
627,201710,268
627,201711,289
627,201712,203
627,201801,189
627,201802,211
627,201803,269
627,201804,207
627,201805,236
627,201806,260
627,201807,160
627,201808,193
627,201809,181
627,201810,187
627,201811,215
627,201812,223
627,201901,286
627,201902,240
627,201903,235
627,201904,236
627,201905,362
627,201906,216
627,201907,265
627,201908,252
627,201909,264
627,201910,231
627,201911,142
627,201912,149
627,202001,156
627,202002,144
627,202003,238
627,202004,78
631,200106,42
631,200107,37
631,200108,116
631,200109,131
631,200110,79
631,200111,54
631,200112,42
631,200201,71
631,200202,70
631,200203,16
631,200204,27
631,200205,42
631,200206,27
631,200207,49
631,200208,55
631,200209,60
631,200210,42
631,201307,6
631,201308,25
631,201310,1
631,201401,5
631,201402,5
631,201403,2
631,201404,1
631,201405,7
631,201407,14
631,201408,19
631,201409,6
631,201410,20
631,201411,29
631,201412,87
631,201501,67
631,201502,78
631,201503,25
631,201504,60
631,201505,92
631,201506,36
631,201507,62
631,201508,48
631,201509,71
631,201510,117
631,201511,100
631,201512,210
631,201601,109
631,201602,85
631,201603,32
631,201604,24
